Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Itemization Type
2026-05-30,07:22:41,GMT+01:00,Bakery,Matcha Cake Slice,1,Regular,MM-MATCHA-CAKE-S-RE,,5.00,0.00,4.17,0.83,sq-demo-55024,Normal
2026-05-30,07:22:41,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55025,Normal
2026-05-30,07:25:09,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55026,Normal
2026-05-30,07:25:09,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55027,Normal
2026-05-30,07:25:49,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55028,Normal
2026-05-30,07:26:59,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55029,Normal
2026-05-30,07:33:34,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55030,Normal
2026-05-30,07:39:13,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,,4.20,0.00,3.50,0.70,sq-demo-55031,Normal
2026-05-30,07:39:34,GMT+01:00,Chocolate,Dark Hot Chocolate,2,Regular,MM-DARK-HOT-CHOCO-RE,,8.40,0.00,7.00,1.40,sq-demo-55032,Normal
2026-05-30,07:43:05,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,Oat Milk,4.80,0.00,4.00,0.80,sq-demo-55033,Normal
2026-05-30,07:46:28,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55034,Normal
2026-05-30,07:46:28,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55035,Normal
2026-05-30,07:46:30,GMT+01:00,Tea,Sencha Pot,2,Large,MM-SENCHA-POT-LA,,7.60,0.00,6.33,1.27,sq-demo-55036,Normal
2026-05-30,07:52:36,GMT+01:00,Coffee,Espresso,2,Regular,MM-ESPRESSO-RE,,5.20,0.00,4.33,0.87,sq-demo-55037,Normal
2026-05-30,07:52:55,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55038,Normal
2026-05-30,07:53:55,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55039,Normal
2026-05-30,08:01:00,GMT+01:00,Matcha,Iced Matcha Latte,2,Large,MM-ICED-MATCHA-LA-LA,,10.60,0.00,8.83,1.77,sq-demo-55040,Normal
2026-05-30,08:03:55,GMT+01:00,Coffee,Espresso,2,Regular,MM-ESPRESSO-RE,,5.20,0.00,4.33,0.87,sq-demo-55041,Normal
2026-05-30,08:03:55,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55042,Normal
2026-05-30,08:09:36,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55043,Normal
2026-05-30,08:13:31,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55044,Normal
2026-05-30,08:18:52,GMT+01:00,Matcha,Matcha Latte,1,Large,MM-MATCHA-LATTE-LA,,5.00,0.00,4.17,0.83,sq-demo-55047,Normal
2026-05-30,08:24:26,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55048,Normal
2026-05-30,08:24:26,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55049,Normal
2026-05-30,08:24:50,GMT+01:00,Tea,Hojicha Latte,1,Regular,MM-HOJICHA-LATTE-RE,,4.30,0.00,3.58,0.72,sq-demo-55051,Normal
2026-05-30,08:30:00,GMT+01:00,Tea,Sencha Pot,1,Large,MM-SENCHA-POT-LA,,3.80,0.00,3.17,0.63,sq-demo-55053,Normal
2026-05-30,08:35:03,GMT+01:00,Tea,Hojicha Latte,2,Large,MM-HOJICHA-LATTE-LA,,9.60,0.00,8.00,1.60,sq-demo-55056,Normal
2026-05-30,08:35:03,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55057,Normal
2026-05-30,08:41:53,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55059,Normal
2026-05-30,08:48:48,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,Oat Milk,4.20,0.00,3.50,0.70,sq-demo-55062,Normal
2026-05-30,08:48:48,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55063,Normal
2026-05-30,08:52:12,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55065,Normal
2026-05-30,08:55:25,GMT+01:00,Coffee,Latte,2,Regular,MM-LATTE-RE,,8.40,0.00,7.00,1.40,sq-demo-55066,Normal
2026-05-30,08:56:27,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55067,Normal
2026-05-30,08:58:04,GMT+01:00,Tea,Hojicha Latte,2,Regular,MM-HOJICHA-LATTE-RE,,8.60,0.00,7.17,1.43,sq-demo-55069,Normal
2026-05-30,08:58:56,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55070,Normal
2026-05-30,09:10:08,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55076,Normal
2026-05-30,09:10:35,GMT+01:00,Coffee,Latte,2,Regular,MM-LATTE-RE,,8.40,0.00,7.00,1.40,sq-demo-55077,Normal
2026-05-30,09:11:06,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55078,Normal
2026-05-30,09:11:06,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55079,Normal
2026-05-30,09:11:21,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55080,Normal
2026-05-30,09:13:15,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55082,Normal
2026-05-30,09:16:51,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55085,Normal
2026-05-30,09:19:21,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55086,Normal
2026-05-30,09:19:27,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,,4.80,0.00,4.00,0.80,sq-demo-55087,Normal
2026-05-30,09:21:08,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,Oat Milk,4.20,0.00,3.50,0.70,sq-demo-55089,Normal
2026-05-30,09:21:45,GMT+01:00,Coffee,Cappuccino,2,Regular,MM-CAPPUCCINO-RE,,8.00,0.00,6.67,1.33,sq-demo-55090,Normal
2026-05-30,09:22:18,GMT+01:00,Matcha,Matcha Latte,2,Regular,MM-MATCHA-LATTE-RE,,9.00,0.00,7.50,1.50,sq-demo-55092,Normal
2026-05-30,09:22:46,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55093,Normal
2026-05-30,09:28:40,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55096,Normal
2026-05-30,09:32:07,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,,4.80,0.00,4.00,0.80,sq-demo-55100,Normal
2026-05-30,09:34:47,GMT+01:00,Chocolate,Dark Hot Chocolate,2,Regular,MM-DARK-HOT-CHOCO-RE,,8.40,0.00,7.00,1.40,sq-demo-55105,Normal
2026-05-30,09:34:55,GMT+01:00,Matcha,Matcha Latte,2,Regular,MM-MATCHA-LATTE-RE,,9.00,0.00,7.50,1.50,sq-demo-55106,Normal
2026-05-30,09:34:55,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55107,Normal
2026-05-30,09:37:37,GMT+01:00,Coffee,Espresso,1,Regular,MM-ESPRESSO-RE,,2.60,0.00,2.17,0.43,sq-demo-55108,Normal
2026-05-30,09:41:37,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55110,Normal
2026-05-30,09:43:24,GMT+01:00,Matcha,Matcha Latte,2,Regular,MM-MATCHA-LATTE-RE,,9.00,0.00,7.50,1.50,sq-demo-55111,Normal
2026-05-30,09:44:46,GMT+01:00,Coffee,Filter Coffee,1,Large,MM-FILTER-COFFEE-LA,,3.70,0.00,3.08,0.62,sq-demo-55112,Normal
2026-05-30,09:46:46,GMT+01:00,Coffee,Espresso,2,Regular,MM-ESPRESSO-RE,,5.20,0.00,4.33,0.87,sq-demo-55114,Normal
2026-05-30,09:49:19,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55117,Normal
2026-05-30,09:49:19,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55118,Normal
2026-05-30,09:52:58,GMT+01:00,Matcha,Matcha Latte,1,Regular,MM-MATCHA-LATTE-RE,,4.50,0.00,3.75,0.75,sq-demo-55120,Normal
2026-05-30,09:54:46,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55122,Normal
2026-05-30,09:55:16,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,,4.80,0.00,4.00,0.80,sq-demo-55123,Normal
2026-05-30,09:58:02,GMT+01:00,Tea,Sencha Pot,2,Regular,MM-SENCHA-POT-RE,,7.60,0.00,6.33,1.27,sq-demo-55126,Normal
2026-05-30,10:13:35,GMT+01:00,Tea,Sencha Pot,1,Regular,MM-SENCHA-POT-RE,,3.80,0.00,3.17,0.63,sq-demo-55131,Normal
2026-05-30,10:13:58,GMT+01:00,Matcha,Iced Matcha Latte,1,Large,MM-ICED-MATCHA-LA-LA,Oat Milk,5.30,0.00,4.42,0.88,sq-demo-55132,Normal
2026-05-30,10:14:49,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55133,Normal
2026-05-30,10:14:49,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55134,Normal
2026-05-30,10:16:30,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55135,Normal
2026-05-30,10:19:42,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55138,Normal
2026-05-30,10:21:01,GMT+01:00,Coffee,Cappuccino,1,Regular,MM-CAPPUCCINO-RE,,4.00,0.00,3.33,0.67,sq-demo-55139,Normal
2026-05-30,10:23:49,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55140,Normal
2026-05-30,10:29:07,GMT+01:00,Coffee,Cappuccino,1,Regular,MM-CAPPUCCINO-RE,,4.00,0.00,3.33,0.67,sq-demo-55143,Normal
2026-05-30,10:29:07,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55144,Normal
2026-05-30,10:30:07,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55145,Normal
2026-05-30,10:30:07,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55146,Normal
2026-05-30,10:33:05,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,Oat Milk,4.80,0.00,4.00,0.80,sq-demo-55147,Normal
2026-05-30,10:34:17,GMT+01:00,Matcha,Matcha Latte,2,Regular,MM-MATCHA-LATTE-RE,,9.00,0.00,7.50,1.50,sq-demo-55148,Normal
2026-05-30,10:47:02,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55156,Normal
2026-05-30,10:49:51,GMT+01:00,Chocolate,Dark Hot Chocolate,1,Large,MM-DARK-HOT-CHOCO-LA,,4.20,0.00,3.50,0.70,sq-demo-55157,Normal
2026-05-30,10:55:08,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55162,Normal
2026-05-30,10:55:08,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55163,Normal
2026-05-30,10:56:14,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,,4.20,0.00,3.50,0.70,sq-demo-55164,Normal
2026-05-30,10:56:14,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55165,Normal
2026-05-30,11:03:25,GMT+01:00,Tea,Sencha Pot,2,Large,MM-SENCHA-POT-LA,,7.60,0.00,6.33,1.27,sq-demo-55169,Normal
2026-05-30,11:03:25,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55170,Normal
2026-05-30,11:06:13,GMT+01:00,Matcha,Iced Matcha Latte,1,Large,MM-ICED-MATCHA-LA-LA,Oat Milk,5.30,0.00,4.42,0.88,sq-demo-55173,Normal
2026-05-30,11:06:13,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55174,Normal
2026-05-30,11:10:45,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55176,Normal
2026-05-30,11:10:45,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55177,Normal
2026-05-30,11:21:04,GMT+01:00,Matcha,Matcha Latte,2,Large,MM-MATCHA-LATTE-LA,,10.00,0.00,8.33,1.67,sq-demo-55187,Normal
2026-05-30,11:21:05,GMT+01:00,Tea,Sencha Pot,1,Large,MM-SENCHA-POT-LA,,3.80,0.00,3.17,0.63,sq-demo-55188,Normal
2026-05-30,11:23:43,GMT+01:00,Chocolate,Dark Hot Chocolate,1,Regular,MM-DARK-HOT-CHOCO-RE,,4.20,0.00,3.50,0.70,sq-demo-55193,Normal
2026-05-30,11:23:43,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55194,Normal
2026-05-30,11:39:14,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55208,Normal
2026-05-30,11:42:44,GMT+01:00,Tea,Sencha Pot,1,Regular,MM-SENCHA-POT-RE,,3.80,0.00,3.17,0.63,sq-demo-55215,Normal
2026-05-30,11:45:43,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,Oat Milk,4.20,0.00,3.50,0.70,sq-demo-55219,Normal
2026-05-30,11:45:44,GMT+01:00,Matcha,Matcha Latte,2,Large,MM-MATCHA-LATTE-LA,,10.00,0.00,8.33,1.67,sq-demo-55220,Normal
2026-05-30,11:45:44,GMT+01:00,Bakery,Matcha Cake Slice,1,Regular,MM-MATCHA-CAKE-S-RE,,5.00,0.00,4.17,0.83,sq-demo-55220,Normal
2026-05-30,11:54:30,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55231,Normal
2026-05-30,11:54:38,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55232,Normal
2026-05-30,11:54:39,GMT+01:00,Matcha,Matcha Latte,1,Large,MM-MATCHA-LATTE-LA,,5.00,0.00,4.17,0.83,sq-demo-55233,Normal
2026-05-30,12:00:20,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55240,Normal
2026-05-30,12:01:55,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55244,Normal
2026-05-30,12:07:15,GMT+01:00,Coffee,Latte,2,Regular,MM-LATTE-RE,,8.40,0.00,7.00,1.40,sq-demo-55248,Normal
2026-05-30,12:08:21,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,,4.80,0.00,4.00,0.80,sq-demo-55251,Normal
2026-05-30,12:11:41,GMT+01:00,Coffee,Filter Coffee,1,Large,MM-FILTER-COFFEE-LA,,3.70,0.00,3.08,0.62,sq-demo-55258,Normal
2026-05-30,12:11:41,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55259,Normal
2026-05-30,12:13:07,GMT+01:00,Coffee,Latte,2,Regular,MM-LATTE-RE,,8.40,0.00,7.00,1.40,sq-demo-55261,Normal
2026-05-30,12:18:07,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55266,Normal
2026-05-30,12:22:00,GMT+01:00,Matcha,Matcha Latte,1,Large,MM-MATCHA-LATTE-LA,,5.00,0.00,4.17,0.83,sq-demo-55270,Normal
2026-05-30,12:27:06,GMT+01:00,Coffee,Cappuccino,2,Large,MM-CAPPUCCINO-LA,,9.00,0.00,7.50,1.50,sq-demo-55277,Normal
2026-05-30,12:34:26,GMT+01:00,Coffee,Espresso,1,Regular,MM-ESPRESSO-RE,,2.60,0.00,2.17,0.43,sq-demo-55288,Normal
2026-05-30,12:34:47,GMT+01:00,Tea,Sencha Pot,1,Large,MM-SENCHA-POT-LA,,3.80,0.00,3.17,0.63,sq-demo-55289,Normal
2026-05-30,12:39:24,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55292,Normal
2026-05-30,12:45:05,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55303,Normal
2026-05-30,12:48:40,GMT+01:00,Coffee,Cappuccino,2,Regular,MM-CAPPUCCINO-RE,Oat Milk,8.00,0.00,6.67,1.33,sq-demo-55312,Normal
2026-05-30,12:48:40,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55313,Normal
2026-05-30,12:51:32,GMT+01:00,Coffee,Cappuccino,1,Large,MM-CAPPUCCINO-LA,,4.50,0.00,3.75,0.75,sq-demo-55318,Normal
2026-05-30,12:51:32,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55319,Normal
2026-05-30,13:00:51,GMT+01:00,Matcha,Iced Matcha Latte,1,Large,MM-ICED-MATCHA-LA-LA,,5.30,0.00,4.42,0.88,sq-demo-55338,Normal
2026-05-30,13:08:41,GMT+01:00,Coffee,Filter Coffee,1,Large,MM-FILTER-COFFEE-LA,,3.70,0.00,3.08,0.62,sq-demo-55352,Normal
2026-05-30,13:14:03,GMT+01:00,Chocolate,Dark Hot Chocolate,1,Large,MM-DARK-HOT-CHOCO-LA,,4.20,0.00,3.50,0.70,sq-demo-55354,Normal
2026-05-30,13:14:53,GMT+01:00,Matcha,Iced Matcha Latte,2,Regular,MM-ICED-MATCHA-LA-RE,,9.60,0.00,8.00,1.60,sq-demo-55357,Normal
2026-05-30,13:17:10,GMT+01:00,Coffee,Latte,1,Regular,MM-LATTE-RE,Oat Milk,4.20,0.00,3.50,0.70,sq-demo-55361,Normal
2026-05-30,13:21:31,GMT+01:00,Chocolate,Dark Hot Chocolate,1,Large,MM-DARK-HOT-CHOCO-LA,,4.20,0.00,3.50,0.70,sq-demo-55371,Normal
2026-05-30,13:22:11,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55372,Normal
2026-05-30,13:23:54,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55373,Normal
2026-05-30,13:27:32,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55374,Normal
2026-05-30,13:32:34,GMT+01:00,Coffee,Espresso,1,Regular,MM-ESPRESSO-RE,,2.60,0.00,2.17,0.43,sq-demo-55379,Normal
2026-05-30,13:41:04,GMT+01:00,Coffee,Espresso,1,Regular,MM-ESPRESSO-RE,,2.60,0.00,2.17,0.43,sq-demo-55384,Normal
2026-05-30,13:41:04,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55385,Normal
2026-05-30,13:42:49,GMT+01:00,Coffee,Filter Coffee,1,Large,MM-FILTER-COFFEE-LA,,3.70,0.00,3.08,0.62,sq-demo-55388,Normal
2026-05-30,13:42:58,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55389,Normal
2026-05-30,13:42:58,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55390,Normal
2026-05-30,13:45:24,GMT+01:00,Chocolate,Dark Hot Chocolate,1,Large,MM-DARK-HOT-CHOCO-LA,,4.20,0.00,3.50,0.70,sq-demo-55391,Normal
2026-05-30,13:50:55,GMT+01:00,Coffee,Filter Coffee,1,Large,MM-FILTER-COFFEE-LA,,3.70,0.00,3.08,0.62,sq-demo-55396,Normal
2026-05-30,13:51:05,GMT+01:00,Coffee,Cappuccino,2,Large,MM-CAPPUCCINO-LA,,9.00,0.00,7.50,1.50,sq-demo-55397,Normal
2026-05-30,13:51:05,GMT+01:00,Bakery,Croissant,1,Regular,MM-CROISSANT-RE,,3.40,0.00,2.83,0.57,sq-demo-55398,Normal
2026-05-30,13:51:59,GMT+01:00,Tea,Hojicha Latte,2,Large,MM-HOJICHA-LATTE-LA,,9.60,0.00,8.00,1.60,sq-demo-55399,Normal
2026-05-30,13:57:34,GMT+01:00,Coffee,Filter Coffee,2,Large,MM-FILTER-COFFEE-LA,,7.40,0.00,6.17,1.23,sq-demo-55412,Normal
2026-05-30,13:57:34,GMT+01:00,Bakery,Miso Banana Loaf,1,Regular,MM-MISO-BANANA-LO-RE,,3.80,0.00,3.17,0.63,sq-demo-55413,Normal
2026-05-30,14:02:47,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55418,Normal
2026-05-30,14:05:18,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55421,Normal
2026-05-30,14:05:18,GMT+01:00,Bakery,Mochi Donut,1,Regular,MM-MOCHI-DONUT-RE,,3.60,0.00,3.00,0.60,sq-demo-55422,Normal
2026-05-30,14:06:48,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55427,Normal
2026-05-30,14:08:20,GMT+01:00,Matcha,Iced Matcha Latte,1,Large,MM-ICED-MATCHA-LA-LA,Oat Milk,5.30,0.00,4.42,0.88,sq-demo-55430,Normal
